plant_id,bench,height(cm)
1,4,82.63593679
2,4,86.36558845
3,4,86.81951889
4,4,64.04494264
5,4,89.49042253
6,4,78.6321133
7,4,80.32616471
8,4,113.5245186
9,4,85.22641335
10,4,92.58431967
11,4,86.11964071
12,4,83.93344663
13,4,79.17277495
14,4,90.01695217
15,4,79.38538763
16,4,92.7029402
17,4,83.94862263
18,4,75.97356893
19,4,84.80314976
20,4,95.06911336
21,4,69.26802022
22,4,65.04465153
23,4,85.78654191
24,4,82.25870343
25,4,71.98822889
26,4,82.53784319
27,4,65.10622984
28,4,73.80863256
29,4,87.26918961
30,4,68.80221542
31,6,66.67921179
32,6,76.05216167
33,6,86.4015456
34,6,82.39068227
35,6,97.12045178
36,6,85.67110335
37,6,68.34593703
38,6,70.3096913
39,6,87.3964011
40,6,98.61856943
41,6,78.40268819
42,6,88.7520582
43,6,72.1888698
44,6,82.2055275
45,6,73.0413958
46,6,82.8169409
47,6,80.36814099
48,6,55.52779054
49,6,67.14741621
50,6,65.99071401
51,6,72.00526191
52,6,67.1248955
53,6,67.84710871
54,6,66.24761633
55,6,90.66585286
56,6,61.76143227
57,6,83.6458889
58,6,64.45354114
59,6,87.3933408
60,6,70.40652681
61,2,85.43628804
62,2,86.40030404
63,2,88.76400719
64,2,95.64440904
65,2,83.91075329
66,2,95.74967478
67,2,98.56038656
68,2,91.70163204
69,2,83.50922291
70,2,86.71414818
71,2,76.12627368
72,2,88.97220504
73,2,79.29967939
74,2,77.40511833
75,2,78.43034517
76,2,88.36078178
77,2,84.30042225
78,2,97.11370792
79,2,80.59034945
80,2,91.43861418
81,2,70.05737241
82,2,71.49001963
83,2,87.59247181
84,2,72.59881151
85,2,73.21997402
86,2,80.2810138
87,2,64.04912296
88,2,88.3115627
89,2,96.20308815
90,2,84.47699014
91,1,81.19612236
92,1,101.9832332
93,1,76.42713124
94,1,74.45469321
95,1,108.0359905
96,1,84.31228843
97,1,65.56870514
98,1,85.97040401
99,1,91.21751281
100,1,97.23244446
101,1,77.18107775
102,1,74.61186101
103,1,64.58529045
104,1,82.4067082
105,1,85.84010074
106,1,84.45280572
107,1,80.41412521
108,1,75.60901523
109,1,91.6429062
110,1,85.9656237
111,1,78.5861387
112,1,66.79588048
113,1,101.9782333
114,1,85.49168335
115,1,82.23816147
116,1,73.11181458
117,1,61.04558549
118,1,82.10303005
119,1,87.86546734
120,1,89.13661608
121,5,81.64052068
122,5,74.66735547
123,5,77.63578558
124,5,58.53622331
125,5,72.1015629
126,5,80.1836359
127,5,87.46351725
128,5,68.91272432
129,5,78.97074687
130,5,89.90368881
131,5,84.45152386
132,5,79.31886874
133,5,72.10657569
134,5,86.01781916
135,5,82.57519915
136,5,71.92641211
137,5,72.80886873
138,5,94.68804962
139,5,71.30424841
140,5,70.44833293
141,5,86.95151331
142,5,81.85726979
143,5,67.28136536
144,5,81.12117876
145,5,69.41174836
146,5,90.89479464
147,5,85.44122852
148,5,74.49311
149,5,83.92077627
150,5,76.1387953
151,3,68.2014655
152,3,90.74791459
153,3,88.97150726
154,3,83.09323787
155,3,78.50055877
156,3,87.95724367
157,3,79.21918307
158,3,78.69930155
159,3,74.29264904
160,3,79.6924384
161,3,80.47534023
162,3,88.97136556
163,3,78.77773283
164,3,84.17834788
165,3,74.0104225
166,3,90.41368973
167,3,72.52235632
168,3,88.92387797
169,3,68.41548144
170,3,86.28263987
171,3,67.13853204
172,3,85.69479485
173,3,101.3082932
174,3,86.74289461
175,3,81.68511741
176,3,86.52415901
177,3,88.53066961
178,3,89.2065931
179,3,59.76329832
180,3,89.85754412
